index,type,name,resident,streamed,parentStack
47,xmodelmesh,p7_gib_chunk_meat_03_lod01970b835,35,0,|p7_gib_chunk_meat_03|xmodel|zone_source/loc/zm_nuked.zone|csv
48,xmodelmesh,p7_gib_chunk_meat_03_lod0afc48326,35,0,|p7_gib_chunk_meat_03|xmodel|zone_source/loc/zm_nuked.zone|csv
49,xmodelmesh,p7_gib_chunk_flesh_01_lod06c0c53de,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_nuked.zone|csv
50,xmodelmesh,p7_gib_chunk_flesh_01_lod0403200c6,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_nuked.zone|csv
51,xmodelmesh,p7_gib_chunk_flesh_01_lod0259096de,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_nuked.zone|csv
52,xmodelmesh,p7_gib_chunk_flesh_01_lod0d933574f,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_nuked.zone|csv
53,xmodelmesh,p7_gib_chunk_flesh_01_lod073297d22,36,0,|p7_gib_chunk_flesh_01|xmodel|zone_source/loc/zm_nuked.zone|csv
54,xmodelmesh,p7_gib_chunk_flesh_03_lod0a3103fb,35,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_nuked.zone|csv
55,xmodelmesh,p7_gib_chunk_flesh_03_lod0bb76abee,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_nuked.zone|csv
56,xmodelmesh,p7_gib_chunk_flesh_03_lod0e98a1470,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_nuked.zone|csv
57,xmodelmesh,p7_gib_chunk_flesh_03_lod051d7742f,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_nuked.zone|csv
58,xmodelmesh,p7_gib_chunk_flesh_03_lod0b438686a,36,0,|p7_gib_chunk_flesh_03|xmodel|zone_source/loc/zm_nuked.zone|csv
59,xmodelmesh,p7_gib_chunk_bone_03_lod0d74e0be3,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_nuked.zone|csv
60,xmodelmesh,p7_gib_chunk_bone_03_lod0e628576e,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_nuked.zone|csv
61,xmodelmesh,p7_gib_chunk_bone_03_lod01e7e3c39,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_nuked.zone|csv
62,xmodelmesh,p7_gib_chunk_bone_03_lod03cede14d,35,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_nuked.zone|csv
63,assetlist,,976,0,
